encoded,original
eggs_yoy_f47df806,Eggs_YoY
margarine_mom_e94446f0,Margarine_MoM
margarine_yoy_25148ac2,Margarine_YoY
tea_mom_1bd5facf,Tea_MoM
tea_yoy_854222b8,Tea_YoY
non_alcoholic_bevera_7e246f85,Non-alcoholic beverages_MoM
non_alcoholic_bevera_bab1ed96,Non-alcoholic beverages_YoY
food_purchased_from__2244e899,Food purchased from restaurants_MoM
food_purchased_from__76514ccc,Food purchased from restaurants_YoY
tenants__maintenance_b88e9888,"Tenants' maintenance, repairs and other expenses_MoM"
tenants__maintenance_bd203740,"Tenants' maintenance, repairs and other expenses_YoY"
household_cleaning_p_b78f4f9e,Household cleaning products_MoM
household_cleaning_p_8e32559f,Household cleaning products_YoY
footwear_mom_7f597060,Footwear_MoM
footwear_yoy_ca90f3dc,Footwear_YoY
operation_of_passeng_8a5f27fa,Operation of passenger vehicles_MoM
operation_of_passeng_5ad0e691,Operation of passenger vehicles_YoY
public_transportatio_8eac3597,Public transportation_MoM
public_transportatio_5f9a3e75,Public transportation_YoY
air_transportation_m_6d0071cf,Air transportation_MoM
air_transportation_y_abb7b464,Air transportation_YoY
other_home_entertain_4485fe57,"Other home entertainment equipment, parts and services_MoM"
other_home_entertain_56539030,"Other home entertainment equipment, parts and services_YoY"
all_items_excluding__2de338aa,All-items excluding food and energy_MoM
all_items_excluding__574b9d56,All-items excluding food and energy_YoY
energy_mom_4eff713c,Energy_MoM
energy_yoy_d796e8b3,Energy_YoY
goods_mom_abcc4148,Goods_MoM
goods_yoy_f436f992,Goods_YoY
durable_goods_mom_6d42401d,Durable goods_MoM
durable_goods_yoy_aa49a07c,Durable goods_YoY
semi_durable_goods_m_5d37b78e,Semi-durable goods_MoM
semi_durable_goods_y_d3f46275,Semi-durable goods_YoY
non_durable_goods_mo_56fbdfe3,Non-durable goods_MoM
non_durable_goods_yo_12458f82,Non-durable goods_YoY
non_durable_goods_ex_6803a18f,Non-durable goods excluding food purchased from stores_MoM
non_durable_goods_ex_5c226257,Non-durable goods excluding food purchased from stores_YoY
goods_excluding_food_15e165fe,Goods excluding food purchased from stores_MoM
goods_excluding_food_fc9c11a6,Goods excluding food purchased from stores_YoY
goods_excluding_food_1e0bad77,Goods excluding food purchased from stores and energy_MoM
goods_excluding_food_b705c393,Goods excluding food purchased from stores and energy_YoY
services_mom_7170b029,Services_MoM
services_yoy_54162371,Services_YoY
services_excluding_s_85d6863e,Services excluding shelter services_MoM
services_excluding_s_c8c6c45b,Services excluding shelter services_YoY
ice_cream_and_relate_66e4e72d,Ice cream and related products_MoM
ice_cream_and_relate_18b21fe4,Ice cream and related products_YoY
fresh_or_frozen_beef_58b60fb9,Fresh or frozen beef_MoM
fresh_or_frozen_beef_5e4e523e,Fresh or frozen beef_YoY
dairy_products_and_e_e1ca124b,Dairy products and eggs_MoM
dairy_products_and_e_431eca86,Dairy products and eggs_YoY
bakery_products_mom_e23779c4,Bakery products_MoM
bakery_products_yoy_ed1b1d32,Bakery products_YoY
sugar_and_confection_a08672a2,Sugar and confectionery_MoM
sugar_and_confection_c4025f66,Sugar and confectionery_YoY
coffee_and_tea_mom_8453ab8f,Coffee and tea_MoM
coffee_and_tea_yoy_8cf03501,Coffee and tea_YoY
communications_mom_d30802a7,Communications_MoM
communications_yoy_6902b531,Communications_YoY
paper__plastic_and_a_62394759,"Paper, plastic and aluminum foil supplies_MoM"
paper__plastic_and_a_6092b46f,"Paper, plastic and aluminum foil supplies_YoY"
household_furnishing_64469f23,Household furnishings and equipment_MoM
household_furnishing_cb7c03b1,Household furnishings and equipment_YoY
women_s_footwear__ex_7f0edbc8,Women's footwear (excluding athletic)_MoM
women_s_footwear__ex_c4603827,Women's footwear (excluding athletic)_YoY
clothing_material__n_df5f6c0b,"Clothing material, notions and services_MoM"
clothing_material__n_02aca82b,"Clothing material, notions and services_YoY"
personal_care_suppli_fbf2b937,Personal care supplies and equipment_MoM
personal_care_suppli_3a3d3b42,Personal care supplies and equipment_YoY
magazines_and_period_15d6a38d,Magazines and periodicals_MoM
magazines_and_period_f5118494,Magazines and periodicals_YoY
all_items_excluding__cda69876,All-items excluding energy_MoM
all_items_excluding__e5ff9549,All-items excluding energy_YoY
food_and_energy_mom_4bd21f80,Food and energy_MoM
food_and_energy_yoy_adeb2fcc,Food and energy_YoY
other_edible_fats_an_c92dbc9f,Other edible fats and oils_MoM
other_edible_fats_an_1354c4d6,Other edible fats and oils_YoY
water_mom_1784b9b8,Water_MoM
water_yoy_4612af35,Water_YoY
jewellery_mom_ec4a3257,Jewellery_MoM
jewellery_yoy_f4c6facf,Jewellery_YoY
laundry_services_mom_a5aa4810,Laundry services_MoM
laundry_services_yoy_5c9cb347,Laundry services_YoY
parking_fees_mom_38f07f0b,Parking fees_MoM
parking_fees_yoy_ba35ed5b,Parking fees_YoY
traveller_accommodat_6cf2c40c,Traveller accommodation_MoM
traveller_accommodat_bb5aabe7,Traveller accommodation_YoY
education_mom_131b9165,Education_MoM
education_yoy_4560f310,Education_YoY
tuition_fees_mom_ac2f5c1d,Tuition fees_MoM
tuition_fees_yoy_e77c5cdb,Tuition fees_YoY
beer_served_in_licen_9dc8e18f,Beer served in licensed establishments_MoM
beer_served_in_licen_572a510d,Beer served in licensed establishments_YoY
liquor_served_in_lic_d4d33fc8,Liquor served in licensed establishments_MoM
liquor_served_in_lic_9a694794,Liquor served in licensed establishments_YoY
wine_purchased_from__04509abe,Wine purchased from stores_MoM
wine_purchased_from__0ce74f71,Wine purchased from stores_YoY
housekeeping_service_b095b964,Housekeeping services_MoM
housekeeping_service_18086996,Housekeeping services_YoY
children_s_clothing__647dd150,Children's clothing_MoM
children_s_clothing__99936440,Children's clothing_YoY
all_other_passenger__0280d4f1,All other passenger vehicle operating expenses_MoM
all_other_passenger__482f2b32,All other passenger vehicle operating expenses_YoY
meat_mom_d6eb7d66,Meat_MoM
meat_yoy_0c8817f5,Meat_YoY
fresh_or_frozen_meat_222723d2,Fresh or frozen meat (excluding poultry)_MoM
fresh_or_frozen_meat_c2c8767c,Fresh or frozen meat (excluding poultry)_YoY
fresh_or_frozen_pork_593ec2c4,Fresh or frozen pork_MoM
fresh_or_frozen_pork_2f88727d,Fresh or frozen pork_YoY
fish_mom_59fe34e1,Fish_MoM
fish_yoy_b870082a,Fish_YoY
canned_and_other_pre_5f70fb58,Canned and other preserved fish_MoM
canned_and_other_pre_e61f0c6a,Canned and other preserved fish_YoY
seafood_and_other_ma_991320bd,Seafood and other marine products_MoM
seafood_and_other_ma_ee453ee9,Seafood and other marine products_YoY
rice_and_rice_based__ad9c8f89,Rice and rice-based mixes_MoM
rice_and_rice_based__68648bb4,Rice and rice-based mixes_YoY
pasta_products_mom_1abe8d88,Pasta products_MoM
pasta_products_yoy_c8411582,Pasta products_YoY
fruit__fruit_prepara_4622a0a2,"Fruit, fruit preparations and nuts_MoM"
fruit__fruit_prepara_d4fa1a81,"Fruit, fruit preparations and nuts_YoY"
vegetables_and_veget_52e072a3,Vegetables and vegetable preparations_MoM
vegetables_and_veget_b0afcdf9,Vegetables and vegetable preparations_YoY
canned_vegetables_an_42b6cc80,Canned vegetables and other vegetable preparations_MoM
canned_vegetables_an_afabb78b,Canned vegetables and other vegetable preparations_YoY
edible_fats_and_oils_b27ba339,Edible fats and oils_MoM
edible_fats_and_oils_6cbae393,Edible fats and oils_YoY
coffee_mom_4dc36569,Coffee_MoM
coffee_yoy_6cc91f9e,Coffee_YoY
condiments__spices_a_53385df2,"Condiments, spices and vinegars_MoM"
condiments__spices_a_13654c29,"Condiments, spices and vinegars_YoY"
other_food_preparati_a19f34bb,Other food preparations_MoM
other_food_preparati_939f002a,Other food preparations_YoY
soup_mom_5c1acd89,Soup_MoM
soup_yoy_c3ca3c7c,Soup_YoY
baby_foods_mom_ea4288a1,Baby foods_MoM
baby_foods_yoy_5eeb96ae,Baby foods_YoY
frozen_food_preparat_5b27ce52,Frozen food preparations_MoM
frozen_food_preparat_68c00fd2,Frozen food preparations_YoY
shelter_mom_97f44d65,Shelter_MoM
shelter_yoy_d979e190,Shelter_YoY
household_operations_ec32f6c3,"Household operations, furnishings and equipment_MoM"
household_operations_5dbc6aa0,"Household operations, furnishings and equipment_YoY"
household_operations_d13c5eb1,Household operations_MoM
household_operations_1e41a939,Household operations_YoY
child_care_services__ee7cf71e,Child care services_MoM
child_care_services__9cb049a1,Child care services_YoY
detergents_and_soaps_76633f12,Detergents and soaps (other than personal care)_MoM
detergents_and_soaps_b96a1019,Detergents and soaps (other than personal care)_YoY
other_horticultural__8c2395a3,Other horticultural goods_MoM
other_horticultural__c404ad6d,Other horticultural goods_YoY
other_household_supp_544b8f5a,Other household supplies_MoM
other_household_supp_a37d727e,Other household supplies_YoY
furniture_and_househ_179891c5,Furniture and household textiles_MoM
furniture_and_househ_5ec7b32b,Furniture and household textiles_YoY
upholstered_furnitur_c176b49c,Upholstered furniture_MoM
upholstered_furnitur_a131a807,Upholstered furniture_YoY
wooden_furniture_mom_a8bec453,Wooden furniture_MoM
wooden_furniture_yoy_1b829033,Wooden furniture_YoY
household_equipment__0271af41,Household equipment_MoM
household_equipment__17dd3957,Household equipment_YoY
household_appliances_bcc77b9e,Household appliances_MoM
household_appliances_b3876250,Household appliances_YoY
refrigerators_and_fr_db7bf55b,Refrigerators and freezers_MoM
refrigerators_and_fr_c31d277b,Refrigerators and freezers_YoY
services_related_to__2be1ed02,Services related to household furnishings and equipment_MoM
services_related_to__42b9b422,Services related to household furnishings and equipment_YoY
athletic_footwear_mo_2a909bd2,Athletic footwear_MoM
athletic_footwear_yo_5e6f8f7e,Athletic footwear_YoY
clothing_material_an_ff799136,Clothing material and notions_MoM
clothing_material_an_8f149c56,Clothing material and notions_YoY
rental_of_passenger__9a9f5fd4,Rental of passenger vehicles_MoM
rental_of_passenger__9deadb5c,Rental of passenger vehicles_YoY
passenger_vehicle_ma_bbc060c4,Passenger vehicle maintenance and repair services_MoM
passenger_vehicle_ma_5248584d,Passenger vehicle maintenance and repair services_YoY
medicinal_and_pharma_5f02cb59,Medicinal and pharmaceutical products_MoM
medicinal_and_pharma_db9b311d,Medicinal and pharmaceutical products_YoY
other_health_care_go_79c3a830,Other health care goods_MoM
other_health_care_go_1ec2417a,Other health care goods_YoY
toiletry_items_and_c_401acdfa,Toiletry items and cosmetics_MoM
toiletry_items_and_c_9a4c7ad0,Toiletry items and cosmetics_YoY
recreational_equipme_184a7d29,Recreational equipment and services (excluding recreational vehicles)_MoM
recreational_equipme_93504b58,Recreational equipment and services (excluding recreational vehicles)_YoY
sporting_and_exercis_b4c3ef79,Sporting and exercise equipment_MoM
sporting_and_exercis_12f06538,Sporting and exercise equipment_YoY
purchase_and_operati_d7bc7c57,Purchase and operation of recreational vehicles_MoM
purchase_and_operati_f7448306,Purchase and operation of recreational vehicles_YoY
purchase_of_recreati_eda64d97,Purchase of recreational vehicles and outboard motors_MoM
purchase_of_recreati_9d57f580,Purchase of recreational vehicles and outboard motors_YoY
operation_of_recreat_a0dd45ca,Operation of recreational vehicles_MoM
operation_of_recreat_2bb46444,Operation of recreational vehicles_YoY
home_entertainment_e_b0cf99e2,"Home entertainment equipment, parts and services_MoM"
home_entertainment_e_0caf63e6,"Home entertainment equipment, parts and services_YoY"
travel_tours_mom_b21177d4,Travel tours_MoM
travel_tours_yoy_1506491a,Travel tours_YoY
video_and_audio_subs_d522c7d7,Video and audio subscription services_MoM
video_and_audio_subs_9c5d4b3a,Video and audio subscription services_YoY
use_of_recreational__3cfbdc3a,Use of recreational facilities and services_MoM
use_of_recreational__0fce9a5c,Use of recreational facilities and services_YoY
other_lessons__cours_1ed1bbe3,"Other lessons, courses and education services_MoM"
other_lessons__cours_34b242fd,"Other lessons, courses and education services_YoY"
alcoholic_beverages__af47d196,Alcoholic beverages served in licensed establishments_MoM
alcoholic_beverages__29bf385e,Alcoholic beverages served in licensed establishments_YoY
alcoholic_beverages__efbb2917,Alcoholic beverages purchased from stores_MoM
alcoholic_beverages__3388d18b,Alcoholic beverages purchased from stores_YoY
shelter__1986_defini_6f108a30,Shelter (1986 definition)_MoM
shelter__1986_defini_d394309a,Shelter (1986 definition)_YoY
all_items_excluding__5533dff1,"All-items excluding alcoholic beverages, tobacco products and smokers' supplies and recreational cannabis_MoM"
all_items_excluding__930690fe,"All-items excluding alcoholic beverages, tobacco products and smokers' supplies and recreational cannabis_YoY"
fresh_fruit_and_vege_202a515f,Fresh fruit and vegetables_MoM
fresh_fruit_and_vege_f4c2b527,Fresh fruit and vegetables_YoY
non_durable_goods_ex_c4db65a9,Non-durable goods excluding food purchased from stores and energy_MoM
non_durable_goods_ex_eeaf5b82,Non-durable goods excluding food purchased from stores and energy_YoY
clothing_mom_e42cc230,Clothing_MoM
clothing_yoy_a5e7718f,Clothing_YoY
women_s_clothing_mom_82443658,Women's clothing_MoM
women_s_clothing_yoy_125c812e,Women's clothing_YoY
men_s_clothing_mom_45107cb3,Men's clothing_MoM
men_s_clothing_yoy_55ec935f,Men's clothing_YoY
all_items_excluding__c8e4c776,All-items excluding mortgage interest cost_MoM
all_items_excluding__38e914e4,All-items excluding mortgage interest cost_YoY
all_items_excluding__2bfcf272,All-items excluding alcoholic beverages and recreational cannabis_MoM
all_items_excluding__4d89f579,All-items excluding alcoholic beverages and recreational cannabis_YoY
all_items_excluding__04f17fc2,All-items excluding tobacco products and smokers' supplies and recreational cannabis_MoM
all_items_excluding__04a566c8,All-items excluding tobacco products and smokers' supplies and recreational cannabis_YoY
all_items_excluding__140c1893,All-items excluding shelter_MoM
all_items_excluding__1a71e862,All-items excluding shelter_YoY
other_fresh_or_froze_8de42b2f,Other fresh or frozen meat (excluding poultry)_MoM
other_fresh_or_froze_1f6dc36b,Other fresh or frozen meat (excluding poultry)_YoY
processed_meat_mom_f6dd33a0,Processed meat_MoM
processed_meat_yoy_f1070b1e,Processed meat_YoY
ham_and_bacon_mom_338ab323,Ham and bacon_MoM
ham_and_bacon_yoy_aea0eab0,Ham and bacon_YoY
other_processed_meat_94bd0668,Other processed meat_MoM
other_processed_meat_274f99c0,Other processed meat_YoY
fish__seafood_and_ot_61a578b7,"Fish, seafood and other marine products_MoM"
fish__seafood_and_ot_db00d2b0,"Fish, seafood and other marine products_YoY"
fresh_or_frozen_fish_78d1f8fa,Fresh or frozen fish (including portions and fish sticks)_MoM
fresh_or_frozen_fish_5b521d8a,Fresh or frozen fish (including portions and fish sticks)_YoY
cheese_mom_1cbd9726,Cheese_MoM
cheese_yoy_2c8fcaf6,Cheese_YoY
other_dairy_products_b4f50dfe,Other dairy products_MoM
other_dairy_products_b1ac06e0,Other dairy products_YoY
bread__rolls_and_bun_7c5fc5d0,"Bread, rolls and buns_MoM"
bread__rolls_and_bun_75a30fe4,"Bread, rolls and buns_YoY"
cookies_and_crackers_e8575b12,Cookies and crackers_MoM
cookies_and_crackers_8cb7112a,Cookies and crackers_YoY
other_bakery_product_e08d7f95,Other bakery products_MoM
other_bakery_product_66868ef9,Other bakery products_YoY
cereal_products__exc_0decb6a7,Cereal products (excluding baby food)_MoM
cereal_products__exc_f2eb489a,Cereal products (excluding baby food)_YoY
other_fresh_fruit_mo_a5c1bb17,Other fresh fruit_MoM
other_fresh_fruit_yo_1b72d38f,Other fresh fruit_YoY
preserved_fruit_and__3bee95a8,Preserved fruit and fruit preparations_MoM
preserved_fruit_and__6c317a0d,Preserved fruit and fruit preparations_YoY
fruit_juices_mom_b588625e,Fruit juices_MoM
fruit_juices_yoy_03a0b4ea,Fruit juices_YoY
other_preserved_frui_b398589d,Other preserved fruit and fruit preparations_MoM
other_preserved_frui_f6b9793c,Other preserved fruit and fruit preparations_YoY
nuts_and_seeds_mom_a3941a3c,Nuts and seeds_MoM
nuts_and_seeds_yoy_09d729b1,Nuts and seeds_YoY
other_fresh_vegetabl_476631da,Other fresh vegetables_MoM
other_fresh_vegetabl_416f529f,Other fresh vegetables_YoY
preserved_vegetables_2031f682,Preserved vegetables and vegetable preparations_MoM
preserved_vegetables_9518cbe2,Preserved vegetables and vegetable preparations_YoY
frozen_and_dried_veg_722db8a8,Frozen and dried vegetables_MoM
frozen_and_dried_veg_7145b920,Frozen and dried vegetables_YoY
other_food_products__19b403bd,Other food products and non-alcoholic beverages_MoM
other_food_products__2400dceb,Other food products and non-alcoholic beverages_YoY
sugar_and_syrup_mom_de39abf5,Sugar and syrup_MoM
sugar_and_syrup_yoy_a2192b88,Sugar and syrup_YoY
confectionery_mom_fe149836,Confectionery_MoM
confectionery_yoy_2ea9f1a3,Confectionery_YoY
all_other_food_prepa_911abcb9,All other food preparations_MoM
all_other_food_prepa_7a0e5b60,All other food preparations_YoY
food_purchased_from__15ff707a,Food purchased from table-service restaurants_MoM
food_purchased_from__71aeef03,Food purchased from table-service restaurants_YoY
food_purchased_from__2cbc075c,Food purchased from fast food and take-out restaurants_MoM
food_purchased_from__8f6d12c5,Food purchased from fast food and take-out restaurants_YoY
child_care_and_house_b03cbba6,Child care and housekeeping services_MoM
child_care_and_house_6e02128e,Child care and housekeeping services_YoY
other_household_clea_f69c725f,Other household cleaning products_MoM
other_household_clea_17781484,Other household cleaning products_YoY
paper_supplies_mom_003af672,Paper supplies_MoM
paper_supplies_yoy_7e863792,Paper supplies_YoY
plastic_and_aluminum_931af8d1,Plastic and aluminum foil supplies_MoM
plastic_and_aluminum_f1d849e5,Plastic and aluminum foil supplies_YoY
other_household_good_b6e4e351,Other household goods and services_MoM
other_household_good_2a5e6036,Other household goods and services_YoY
pet_food_and_supplie_9ad5e1f7,Pet food and supplies_MoM
pet_food_and_supplie_1c2f9544,Pet food and supplies_YoY
seeds__plants_and_cu_58c4c6b2,"Seeds, plants and cut flowers_MoM"
seeds__plants_and_cu_56770d92,"Seeds, plants and cut flowers_YoY"
household_textiles_m_3bd70aa6,Household textiles_MoM
household_textiles_y_102020d6,Household textiles_YoY
window_coverings_mom_c63366e8,Window coverings_MoM
window_coverings_yoy_2c96dadd,Window coverings_YoY
bedding_and_other_ho_efd1d8fc,Bedding and other household textiles_MoM
bedding_and_other_ho_30d40430,Bedding and other household textiles_YoY
cooking_appliances_m_b86f29b0,Cooking appliances_MoM
cooking_appliances_y_7429101b,Cooking appliances_YoY
laundry_and_dishwash_4727c8de,Laundry and dishwashing appliances_MoM
laundry_and_dishwash_0917aa68,Laundry and dishwashing appliances_YoY
other_household_appl_ac663e1a,Other household appliances_MoM
other_household_appl_1174e543,Other household appliances_YoY
non_electric_kitchen_5f8980aa,"Non-electric kitchen utensils, tableware and cookware_MoM"
non_electric_kitchen_51059bd3,"Non-electric kitchen utensils, tableware and cookware_YoY"
household_tools__inc_21aeab25,"Household tools (including lawn, garden and snow removal equipment)_MoM"
household_tools__inc_6ccba116,"Household tools (including lawn, garden and snow removal equipment)_YoY"
men_s_footwear__excl_5c0b0c49,Men's footwear (excluding athletic)_MoM
men_s_footwear__excl_008d4ff2,Men's footwear (excluding athletic)_YoY
clothing_accessories_2eea3155,"Clothing accessories, watches and jewellery_MoM"
clothing_accessories_55608d76,"Clothing accessories, watches and jewellery_YoY"
leather_clothing_acc_5d058473,Leather clothing accessories_MoM
leather_clothing_acc_d1fcdc86,Leather clothing accessories_YoY
watches_mom_deff9382,Watches_MoM
watches_yoy_e48f8486,Watches_YoY
purchase__leasing_an_b26a7bfa,"Purchase, leasing and rental of passenger vehicles_MoM"
purchase__leasing_an_c27abc75,"Purchase, leasing and rental of passenger vehicles_YoY"
passenger_vehicle_pa_dfb97b28,"Passenger vehicle parts, maintenance and repairs_MoM"
passenger_vehicle_pa_4e9b4408,"Passenger vehicle parts, maintenance and repairs_YoY"
passenger_vehicle_pa_65d236d0,"Passenger vehicle parts, accessories and supplies_MoM"
passenger_vehicle_pa_181ae514,"Passenger vehicle parts, accessories and supplies_YoY"
other_passenger_vehi_a4fda8f2,Other passenger vehicle operating expenses_MoM
other_passenger_vehi_752b0460,Other passenger vehicle operating expenses_YoY
passenger_vehicle_re_f46264c0,Passenger vehicle registration fees_MoM
passenger_vehicle_re_f95f0fdf,Passenger vehicle registration fees_YoY
drivers__licences_mo_51761f10,Drivers' licences_MoM
drivers__licences_yo_8f80be0a,Drivers' licences_YoY
rail__highway_bus_an_83eb5964,"Rail, highway bus and other inter-city transportation_MoM"
rail__highway_bus_an_8da588c1,"Rail, highway bus and other inter-city transportation_YoY"
health_care_goods_mo_41640089,Health care goods_MoM
health_care_goods_yo_bbdf93a4,Health care goods_YoY
prescribed_medicines_96c9fa5e,Prescribed medicines (excluding medicinal cannabis)_MoM
prescribed_medicines_55c2a6f4,Prescribed medicines (excluding medicinal cannabis)_YoY
non_prescribed_medic_274fd05a,Non-prescribed medicines_MoM
non_prescribed_medic_9dcd8f07,Non-prescribed medicines_YoY
eye_care_goods_mom_fa4cf71a,Eye care goods_MoM
eye_care_goods_yoy_df5c842b,Eye care goods_YoY
health_care_services_72e767e0,Health care services_MoM
health_care_services_a3500607,Health care services_YoY
other_personal_care__b89eef0c,Other personal care supplies and equipment_MoM
other_personal_care__1ef789f6,Other personal care supplies and equipment_YoY
toys__games__excludi_14a1c391,"Toys, games (excluding video games) and hobby supplies_MoM"
toys__games__excludi_1a078f19,"Toys, games (excluding video games) and hobby supplies_YoY"
photographic_equipme_36b0d815,Photographic equipment and supplies_MoM
photographic_equipme_bb3810c7,Photographic equipment and supplies_YoY
recreational_service_f10b39c9,Recreational services_MoM
recreational_service_779d981c,Recreational services_YoY
audio_equipment_mom_fca45fd7,Audio equipment_MoM
audio_equipment_yoy_cc1532fe,Audio equipment_YoY
video_equipment_mom_ed59b066,Video equipment_MoM
video_equipment_yoy_8c68c3db,Video equipment_YoY
travel_services_mom_47faf0a4,Travel services_MoM
travel_services_yoy_ce67ad6e,Travel services_YoY
other_cultural_and_r_9e9c9d2f,Other cultural and recreational services_MoM
other_cultural_and_r_78341c04,Other cultural and recreational services_YoY
spectator_entertainm_0a9de5b8,Spectator entertainment (excluding video and audio subscription services)_MoM
spectator_entertainm_4af90c2d,Spectator entertainment (excluding video and audio subscription services)_YoY
education_and_readin_48ed6d12,Education and reading_MoM
education_and_readin_5c8d1909,Education and reading_YoY
books_and_reading_ma_3b83b205,Books and reading material (excluding textbooks)_MoM
books_and_reading_ma_54165f7b,Books and reading material (excluding textbooks)_YoY
rental_of_digital_me_5292bdda,Rental of digital media_MoM
rental_of_digital_me_9bdff601,Rental of digital media_YoY
food_purchased_from__5192695a,Food purchased from cafeterias and other restaurants_MoM
food_purchased_from__8dcba1db,Food purchased from cafeterias and other restaurants_YoY
other_owned_accommod_2efd3ced,Other owned accommodation expenses_MoM
other_owned_accommod_a791e7a6,Other owned accommodation expenses_YoY
other_household_serv_8e30b8de,Other household services_MoM
other_household_serv_194d0833,Other household services_YoY
other_furniture_mom_762e07b5,Other furniture_MoM
other_furniture_yoy_5dc22be3,Other furniture_YoY
tools_and_other_hous_a082519b,Tools and other household equipment_MoM
tools_and_other_hous_d5d415a1,Tools and other household equipment_YoY
other_household_equi_e816aea1,Other household equipment_MoM
other_household_equi_de031417,Other household equipment_YoY
children_s_footwear__02189a4a,Children's footwear (excluding athletic)_MoM
children_s_footwear__014d2a66,Children's footwear (excluding athletic)_YoY
other_clothing_acces_369624b5,Other clothing accessories_MoM
other_clothing_acces_0885cf09,Other clothing accessories_YoY
other_health_care_se_b5fd531f,Other health care services_MoM
other_health_care_se_5771b1eb,Other health care services_YoY
digital_computing_eq_32909381,Digital computing equipment and devices_MoM
digital_computing_eq_b5947bae,Digital computing equipment and devices_YoY
other_recreational_e_f442691d,Other recreational equipment_MoM
other_recreational_e_de54e1c2,Other recreational equipment_YoY
fuel__parts_and_acce_662ac6a4,"Fuel, parts and accessories for recreational vehicles_MoM"
fuel__parts_and_acce_15b81864,"Fuel, parts and accessories for recreational vehicles_YoY"
insurance__licences__91ea11a4,"Insurance, licences and other services for recreational vehicles_MoM"
insurance__licences__cd31656d,"Insurance, licences and other services for recreational vehicles_YoY"
school_textbooks_and_b6a88455,School textbooks and supplies_MoM
school_textbooks_and_42d5e662,School textbooks and supplies_YoY
wine_served_in_licen_f924217f,Wine served in licensed establishments_MoM
wine_served_in_licen_635534e1,Wine served in licensed establishments_YoY
other_tobacco_produc_7c679c0a,Other tobacco products and smokers' supplies_MoM
other_tobacco_produc_2b910a6f,Other tobacco products and smokers' supplies_YoY
leasing_of_passenger_b800c893,Leasing of passenger vehicles_MoM
leasing_of_passenger_01cc15d2,Leasing of passenger vehicles_YoY
all_items_excluding__4b78c616,All-items excluding gasoline_MoM
all_items_excluding__2381d185,All-items excluding gasoline_YoY
all_items_excluding__bd841668,"All-items excluding shelter, insurance and financial services_MoM"
all_items_excluding__d65cd523,"All-items excluding shelter, insurance and financial services_YoY"
private_transportati_d582299f,Private transportation excluding gasoline_MoM
private_transportati_5b76dfd8,Private transportation excluding gasoline_YoY
purchase_of_digital__e46b51ed,Purchase of digital media_MoM
purchase_of_digital__52dbc034,Purchase of digital media_YoY
internet_access_serv_11e76ec2,Internet access services (200212=100)_MoM
internet_access_serv_2ced6f16,Internet access services (200212=100)_YoY
financial_services___4bfe536f,Financial services (200212=100)_MoM
financial_services___45109280,Financial services (200212=100)_YoY
eye_care_services__2_5c9021f8,Eye care services (200704=100)_MoM
eye_care_services__2_126ebf63,Eye care services (200704=100)_YoY
telephone_equipment__130a7de6,Telephone equipment (201104=100)_MoM
telephone_equipment__5277b026,Telephone equipment (201104=100)_YoY
computer_equipment___88c0121a,"Computer equipment, software and supplies (201104=100)_MoM"
computer_equipment___01d6e021,"Computer equipment, software and supplies (201104=100)_YoY"
multipurpose_digital_46d340f1,Multipurpose digital devices (201104=100)_MoM
multipurpose_digital_49f7df25,Multipurpose digital devices (201104=100)_YoY
bacon__2013_100__mom_de4b485b,Bacon (2013=100)_MoM
bacon__2013_100__yoy_7d4a0414,Bacon (2013=100)_YoY
ham_excluding_deli_h_1e5fc6d4,Ham excluding deli ham (2013=100)_MoM
ham_excluding_deli_h_51fb897b,Ham excluding deli ham (2013=100)_YoY
canned_salmon__2013__c8f8a41f,Canned salmon (2013=100)_MoM
canned_salmon__2013__3fe1c1f2,Canned salmon (2013=100)_YoY
canned_tuna__2013_10_07ca0827,Canned tuna (2013=100)_MoM
canned_tuna__2013_10_56d17aa9,Canned tuna (2013=100)_YoY
shrimps_and_prawns___03f4bd25,Shrimps and prawns (2013=100)_MoM
shrimps_and_prawns___ee110358,Shrimps and prawns (2013=100)_YoY
other_shellfish__201_3009dd10,Other shellfish (2013=100)_MoM
other_shellfish__201_8d9e8a28,Other shellfish (2013=100)_YoY
whole_milk__2013_100_3896d44f,Whole milk (2013=100)_MoM
whole_milk__2013_100_915e7682,Whole milk (2013=100)_YoY
low_fat_milk__2013_1_fd1634ca,Low-fat milk (2013=100)_MoM
low_fat_milk__2013_1_f3d65545,Low-fat milk (2013=100)_YoY
cheddar_cheese__2013_cfb6f722,Cheddar cheese (2013=100)_MoM
cheddar_cheese__2013_8902e59b,Cheddar cheese (2013=100)_YoY
processed_cheese__20_ef0d6cb1,Processed cheese (2013=100)_MoM
processed_cheese__20_d6f09829,Processed cheese (2013=100)_YoY
unripened_or_fresh_c_ce529509,Unripened or fresh cheese (2013=100)_MoM
unripened_or_fresh_c_fc6ca874,Unripened or fresh cheese (2013=100)_YoY
mozzarella_cheese__2_94980926,Mozzarella cheese (2013=100)_MoM
mozzarella_cheese__2_f0b4419f,Mozzarella cheese (2013=100)_YoY
crackers_and_crisp_b_55ab120f,Crackers and crisp breads (2013=100)_MoM
crackers_and_crisp_b_fda8d0b9,Crackers and crisp breads (2013=100)_YoY
cookies_and_sweet_bi_d144b1d4,Cookies and sweet biscuits (2013=100)_MoM
